ref_no,event_ts,debit_acct,credit_acct,txn_value,ccy,activity_code,channel_cd,orig_ctry,dest_ctry,aml_flag,typology
T-000001,2025-04-12 17:56:00.000000,ACC-N0183,ACC-N0025,8929.53,USD,WD,BRN,FR,US,,
T-000002,2025-03-22 23:33:00.000000,ACC-N0123,ACC-N0035,14835.69,USD,WD,BRN,US,US,,
T-000003,2025-04-05 12:23:00.000000,ACC-N0087,ACC-STR03,3590.87,USD,DEP,BRN,US,DE,,
T-000004,2025-05-17 13:40:00.000000,ACC-LAY15,ACC-N0056,8907.63,USD,XFER,MOB,JP,GB,,
T-000005,2025-03-12 18:09:00.000000,ACC-N0190,ACC-N0121,1029.59,USD,WD,BRN,DE,US,,
T-000006,2025-04-08 20:42:00.000000,ACC-STR05,ACC-LAY04,2451.04,USD,WD,ATM,CA,US,,
T-000007,2025-04-27 12:38:00.000000,ACC-N0044,ACC-N0082,10222.31,USD,WD,BRN,SG,DE,,
T-000008,2025-04-24 00:31:00.000000,ACC-N0021,ACC-N0208,4691.58,USD,XFER,ONL,JP,SG,,
T-000009,2025-04-30 18:14:00.000000,ACC-SMF10,ACC-LAY04,5379.48,USD,XFER,ONL,FR,SG,,
T-000010,2025-05-18 11:22:00.000000,ACC-N0131,ACC-N0197,7471.06,USD,XFER,MOB,GB,AU,,
T-000011,2025-03-26 13:11:00.000000,ACC-STR11,ACC-N0088,9306.09,USD,CSH,ATM,US,US,Y,STRUCTURING
T-000012,2025-04-11 12:59:00.000000,ACC-STR12,ACC-N0107,8814.21,USD,XFER,BRN,US,US,Y,STRUCTURING
T-000013,2025-05-07 02:51:00.000000,ACC-RCO03,ACC-N0099,3251.58,USD,XFER,MOB,DE,US,,
T-000014,2025-03-26 16:33:00.000000,ACC-RCO07,ACC-LAY12,14341.42,USD,XFER,MOB,JP,JP,,
T-000015,2025-03-16 10:23:00.000000,ACC-N0191,ACC-LAY17,453.98,USD,XFER,ONL,SG,AU,,
T-000016,2025-04-18 20:51:00.000000,ACC-N0143,ACC-N0138,5156.66,USD,XFER,ONL,FR,SG,,
T-000017,2025-04-21 02:07:00.000000,ACC-N0060,ACC-N0044,1030.47,USD,DEP,ONL,DE,JP,,
T-000018,2025-05-15 03:44:00.000000,ACC-N0153,ACC-N0094,4818.39,USD,XFER,MOB,US,AU,,
T-000019,2025-04-18 20:13:00.000000,ACC-N0153,ACC-SMF17,6559.21,USD,WD,ATM,FR,US,,
T-000020,2025-03-02 19:06:00.000000,ACC-N0047,ACC-RCO02,56384.52,USD,WIRE,WR,AU,US,Y,RAPID_CASHOUT
T-000021,2025-04-16 05:33:00.000000,ACC-LAY21,ACC-N0180,11698.11,USD,WD,BRN,JP,JP,,
T-000022,2025-03-17 01:45:00.000000,ACC-LAY05,ACC-N0125,6396.69,USD,DEP,ONL,JP,GB,,
