acct_id,cust_name,open_dt,segment,domicile,job_title,risk_tier,kyc_stat,pep_ind,exp_vol_monthly
ACC-N0001,Ivan Alvarez,2016-07-26,CORP,SG,corporate banking,L,V,N,10593.65
ACC-N0002,Nora Alvarez,2020-05-02,RETAIL,SG,nurse,L,V,N,10710.09
ACC-N0003,Omar Alvarez,2020-09-22,RETAIL,GB,doctor,L,V,N,12680.63
ACC-N0004,Priya Alvarez,2022-08-03,RETAIL,SG,teacher,L,P,N,20145.63
ACC-N0005,Quincy Alvarez,2017-10-26,RETAIL,GB,nurse,M,V,N,29054.13
ACC-N0006,Rosa Alvarez,2016-01-01,RETAIL,SG,student,L,V,N,8540.33
ACC-N0007,Sami Alvarez,2019-04-12,CORP,DE,corporate banking,L,V,N,26458.86
ACC-N0008,Talia Alvarez,2016-02-20,RETAIL,FR,software engineer,L,V,N,15726.82
ACC-N0009,Ugo Alvarez,2021-03-11,RETAIL,DE,retail worker,L,V,N,7460.08
ACC-N0010,Vera Alvarez,2016-01-24,RETAIL,JP,doctor,L,P,N,8170.72
ACC-N0011,Walt Alvarez,2020-11-29,RETAIL,FR,teacher,L,V,N,14344.32
ACC-N0012,Ximena Alvarez,2019-12-31,CORP,US,corporate banking,L,V,N,3571.0
ACC-N0013,Yusuf Alvarez,2020-09-05,RETAIL,FR,doctor,L,V,N,23130.54
ACC-N0014,Zoe Alvarez,2017-03-24,RETAIL,SG,consultant,L,V,N,4885.88
ACC-N0015,Adrian Alvarez,2019-03-31,CORP,US,corporate banking,L,V,N,18689.21
ACC-N0016,Bianca Alvarez,2019-01-20,CORP,FR,corporate banking,L,V,N,13709.64
ACC-N0017,Cyrus Alvarez,2021-10-21,RETAIL,AU,student,L,V,N,15599.08
ACC-N0018,Delia Alvarez,2020-07-04,RETAIL,AU,lawyer,L,V,N,72308.12
ACC-N0019,Ewan Alvarez,2017-02-25,RETAIL,DE,doctor,L,V,N,14108.03
ACC-N0020,Freya Alvarez,2019-10-10,RETAIL,CA,accountant,L,V,N,13075.46
ACC-N0021,Gustavo Alvarez,2015-11-12,RETAIL,FR,lawyer,L,V,N,14570.13
ACC-N0022,Hana Alvarez,2021-05-01,RETAIL,DE,contractor,L,P,N,13855.68
ACC-N0023,Ilia Alvarez,2021-02-07,RETAIL,DE,contractor,L,V,N,38327.27
ACC-N0024,Juno Alvarez,2015-12-21,CORP,CA,corporate banking,L,V,N,13479.99
ACC-N0025,Kiran Alvarez,2019-10-12,RETAIL,AU,student,L,V,N,31881.44
ACC-N0026,Lior Alvarez,2016-05-22,RETAIL,FR,retail worker,L,V,N,24213.98
ACC-N0027,Mira Alvarez,2022-09-10,RETAIL,FR,nurse,L,V,N,12340.37
ACC-N0028,Noah Alvarez,2021-02-04,RETAIL,AU,student,L,V,N,33806.7
ACC-N0029,Opal Alvarez,2021-05-06,CORP,SG,corporate banking,L,I,N,7089.31
ACC-N0030,Petra Alvarez,2016-07-10,RETAIL,FR,software engineer,L,V,N,12385.44
ACC-N0031,Ivan Becker,2022-06-01,CORP,AU,corporate banking,L,V,N,10271.79
ACC-N0032,Nora Becker,2022-05-10,RETAIL,AU,student,L,V,N,14086.12
ACC-N0033,Omar Becker,2017-09-29,RETAIL,GB,accountant,L,V,N,8077.71
ACC-N0034,Priya Becker,2021-08-07,RETAIL,SG,teacher,L,V,N,6504.88
ACC-N0035,Quincy Becker,2021-03-02,CORP,FR,corporate banking,L,V,N,23035.4
ACC-N0036,Rosa Becker,2016-01-06,RETAIL,FR,retail worker,H,V,N,8381.78
ACC-N0037,Sami Becker,2015-07-16,CORP,US,corporate banking,L,V,Y,19473.14
ACC-N0038,Talia Becker,2019-04-08,RETAIL,JP,retail worker,L,V,N,18123.47
ACC-N0039,Ugo Becker,2015-01-05,RETAIL,JP,teacher,L,V,N,12531.75
ACC-N0040,Vera Becker,2021-09-20,RETAIL,GB,doctor,L,V,N,6247.74
ACC-N0041,Walt Becker,2017-05-08,RETAIL,DE,lawyer,L,V,N,930.11
ACC-N0042,Ximena Becker,2022-12-06,RETAIL,US,consultant,L,P,N,14039.17
ACC-N0043,Yusuf Becker,2020-12-31,RETAIL,GB,software engineer,L,V,N,26372.83
ACC-N0044,Zoe Becker,2017-04-11,CORP,CA,corporate banking,L,V,N,13634.25
ACC-N0045,Adrian Becker,2020-01-28,RETAIL,DE,consultant,L,V,N,19075.47
ACC-N0046,Bianca Becker,2022-10-28,RETAIL,SG,accountant,L,V,N,14341.53
ACC-N0047,Cyrus Becker,2020-07-08,RETAIL,GB,software engineer,L,V,N,45515.08
ACC-N0048,Delia Becker,2016-11-15,RETAIL,JP,doctor,L,V,N,5463.98
ACC-N0049,Ewan Becker,2019-10-23,RETAIL,DE,teacher,L,V,N,3818.6
ACC-N0050,Freya Becker,2020-03-15,CORP,JP,corporate banking,L,V,N,9304.76
ACC-N0051,Gustavo Becker,2019-05-12,RETAIL,AU,contractor,M,V,N,2971.04
ACC-N0052,Hana Becker,2016-01-21,CORP,JP,corporate banking,L,V,N,27711.33
ACC-N0053,Ilia Becker,2020-08-07,RETAIL,CA,nurse,L,V,N,10527.91
ACC-N0054,Juno Becker,2015-09-23,RETAIL,CA,lawyer,L,V,N,20948.77
ACC-N0055,Kiran Becker,2015-06-06,RETAIL,CA,doctor,L,V,N,14484.71
ACC-N0056,Lior Becker,2015-12-11,RETAIL,CA,retail worker,L,V,N,11214.2
ACC-N0057,Mira Becker,2018-06-18,RETAIL,AU,nurse,L,V,N,10669.68
ACC-N0058,Noah Becker,2021-04-27,RETAIL,CA,teacher,M,P,N,14181.19
ACC-N0059,Opal Becker,2018-11-20,RETAIL,FR,software engineer,L,V,N,24623.32
ACC-N0060,Petra Becker,2022-02-05,RETAIL,JP,nurse,L,V,N,8349.33
ACC-N0061,Ivan Chen,2017-11-19,RETAIL,GB,student,L,V,N,25847.64
ACC-N0062,Nora Chen,2021-02-23,RETAIL,GB,nurse,L,V,N,20074.78
ACC-N0063,Omar Chen,2017-12-08,CORP,US,corporate banking,L,I,Y,27869.27
ACC-N0064,Priya Chen,2019-08-19,CORP,JP,corporate banking,L,V,N,18603.25
ACC-N0065,Quincy Chen,2015-01-10,RETAIL,AU,consultant,L,V,N,7367.88
ACC-N0066,Rosa Chen,2022-06-15,RETAIL,DE,lawyer,L,V,N,8582.62
ACC-N0067,Sami Chen,2016-07-21,RETAIL,US,retail worker,L,V,N,25653.93
ACC-N0068,Talia Chen,2015-03-31,CORP,DE,corporate banking,L,V,N,27426.74
ACC-N0069,Ugo Chen,2022-03-11,RETAIL,US,contractor,L,V,N,12508.66
ACC-N0070,Vera Chen,2020-05-22,RETAIL,SG,software engineer,L,P,N,10791.14
ACC-N0071,Walt Chen,2018-12-07,RETAIL,GB,teacher,M,V,N,30236.41
ACC-N0072,Ximena Chen,2020-10-20,RETAIL,DE,teacher,L,V,N,11301.15
ACC-N0073,Yusuf Chen,2016-05-01,RETAIL,AU,teacher,M,V,N,11073.52
ACC-N0074,Zoe Chen,2018-04-13,RETAIL,SG,contractor,L,V,N,21009.77
ACC-N0075,Adrian Chen,2018-06-05,RETAIL,JP,teacher,M,V,N,11735.28
ACC-N0076,Bianca Chen,2016-09-10,RETAIL,AU,doctor,M,V,N,13013.29
ACC-N0077,Cyrus Chen,2017-06-29,RETAIL,CA,contractor,L,V,N,10447.47
ACC-N0078,Delia Chen,2019-02-23,CORP,US,corporate banking,L,V,N,7742.43
ACC-N0079,Ewan Chen,2016-07-04,RETAIL,SG,contractor,L,I,N,2195.4
ACC-N0080,Freya Chen,2019-05-02,RETAIL,SG,doctor,L,V,N,8969.46
ACC-N0081,Gustavo Chen,2017-05-05,RETAIL,DE,contractor,M,V,N,5377.54
ACC-N0082,Hana Chen,2020-08-17,CORP,FR,corporate banking,L,V,N,6496.1
ACC-N0083,Ilia Chen,2017-03-20,RETAIL,AU,contractor,L,V,N,11082.45
ACC-N0084,Juno Chen,2018-09-30,RETAIL,GB,lawyer,L,V,N,7606.8
ACC-N0085,Kiran Chen,2016-09-13,CORP,JP,corporate banking,L,V,N,7796.42
ACC-N0086,Lior Chen,2018-11-08,RETAIL,GB,teacher,L,V,N,12547.8
ACC-N0087,Mira Chen,2015-04-22,RETAIL,FR,nurse,M,V,N,19615.44
ACC-N0088,Noah Chen,2019-12-14,CORP,CA,corporate banking,L,V,N,21588.36
ACC-N0089,Opal Chen,2015-05-31,RETAIL,AU,teacher,L,V,N,10947.29
ACC-N0090,Petra Chen,2022-05-15,RETAIL,DE,software engineer,L,V,N,20317.32
ACC-N0091,Ivan Dubois,2016-11-24,RETAIL,FR,software engineer,M,V,N,25524.22
ACC-N0092,Nora Dubois,2022-07-23,RETAIL,US,student,L,V,N,10921.84
