customer_id,name,account_open_date,customer_type,country,occupation,risk_rating,kyc_status,is_pep,expected_monthly_volume
C-N0001,Alice Smith,2018-02-15,individual,JP,retail worker,low,verified,False,10477.45
C-N0002,Bob Smith,2020-01-14,business,US,corporate banking,medium,verified,False,18752.52
C-N0003,Carol Smith,2020-08-27,individual,CA,doctor,low,verified,False,13014.93
C-N0004,David Smith,2020-12-01,individual,FR,contractor,low,verified,False,17607.5
C-N0005,Eva Smith,2017-02-06,individual,US,nurse,medium,verified,False,16444.64
C-N0006,Frank Smith,2015-09-28,business,CA,corporate banking,medium,verified,False,14853.18
C-N0007,Grace Smith,2020-07-06,individual,DE,software engineer,low,verified,False,16987.69
C-N0008,Hank Smith,2019-01-11,business,US,corporate banking,low,verified,False,9746.92
C-N0009,Irene Smith,2017-05-02,individual,US,software engineer,medium,verified,False,17011.91
C-N0010,Jack Smith,2015-03-26,individual,JP,accountant,low,verified,False,22616.43
C-N0011,Karen Smith,2018-04-09,individual,JP,student,low,verified,False,20637.23
C-N0012,Leo Smith,2017-09-07,individual,US,software engineer,low,verified,False,8929.16
C-N0013,Maria Smith,2020-10-15,individual,GB,teacher,low,verified,False,8264.03
C-N0014,Nathan Smith,2017-10-29,individual,US,software engineer,low,verified,False,13486.64
C-N0015,Olivia Smith,2021-07-02,business,GB,corporate banking,low,verified,False,23580.46
C-N0016,Paul Smith,2019-04-24,individual,DE,accountant,low,verified,False,20762.93
C-N0017,Quinn Smith,2016-07-22,individual,CA,student,low,verified,False,22177.3
C-N0018,Rachel Smith,2021-07-11,individual,SG,doctor,low,verified,False,13316.47
C-N0019,Sam Smith,2015-07-03,individual,AU,retail worker,high,verified,False,11449.99
C-N0020,Tina Smith,2021-02-03,business,GB,corporate banking,low,verified,False,6317.63
C-N0021,Uma Smith,2021-02-21,individual,FR,contractor,low,verified,False,10653.0
C-N0022,Victor Smith,2017-09-30,individual,US,doctor,low,verified,False,21001.97
C-N0023,Wendy Smith,2021-08-11,individual,CA,accountant,low,verified,False,11722.04
C-N0024,Xavier Smith,2019-11-15,individual,GB,accountant,low,verified,False,22258.38
C-N0025,Yara Smith,2019-12-31,individual,GB,lawyer,low,verified,False,21382.5
C-N0026,Zack Smith,2015-12-15,individual,AU,retail worker,low,verified,False,1034.42
C-N0027,Amber Smith,2018-09-12,individual,FR,nurse,low,pending,False,37640.49
C-N0028,Brian Smith,2015-03-16,individual,FR,software engineer,low,verified,False,18751.86
C-N0029,Clara Smith,2015-10-08,individual,AU,accountant,low,pending,False,20946.57
C-N0030,Derek Smith,2018-02-11,individual,US,student,high,verified,False,25191.27
C-N0031,Alice Johnson,2018-08-10,individual,FR,retail worker,low,verified,False,43441.16
C-N0032,Bob Johnson,2021-07-11,business,FR,corporate banking,low,verified,False,10525.85
C-N0033,Carol Johnson,2019-07-15,individual,DE,software engineer,low,verified,False,20953.34
C-N0034,David Johnson,2016-01-27,individual,DE,retail worker,high,verified,False,13269.87
C-N0035,Eva Johnson,2022-03-22,individual,DE,lawyer,low,pending,False,26987.33
C-N0036,Frank Johnson,2016-01-11,individual,DE,nurse,high,verified,False,32369.08
C-N0037,Grace Johnson,2022-04-27,individual,SG,doctor,low,verified,False,24894.66
C-N0038,Hank Johnson,2018-03-29,business,DE,corporate banking,low,verified,False,13885.49
C-N0039,Irene Johnson,2019-05-21,individual,AU,lawyer,low,verified,False,14893.72
C-N0040,Jack Johnson,2015-10-14,individual,AU,nurse,medium,verified,False,35545.69
C-N0041,Karen Johnson,2020-03-30,individual,AU,accountant,medium,verified,False,21792.9
C-N0042,Leo Johnson,2019-08-13,individual,CA,consultant,low,verified,False,22307.04
C-N0043,Maria Johnson,2020-02-05,individual,FR,teacher,low,verified,False,25739.64
C-N0044,Nathan Johnson,2016-10-15,individual,DE,lawyer,low,verified,False,25823.07
C-N0045,Olivia Johnson,2022-11-12,individual,GB,contractor,low,verified,True,14667.78
C-N0046,Paul Johnson,2015-10-12,individual,AU,consultant,low,verified,False,12360.16
C-N0047,Quinn Johnson,2021-05-01,individual,JP,teacher,low,verified,False,14936.16
C-N0048,Rachel Johnson,2015-05-10,individual,DE,accountant,low,verified,False,34913.02
C-N0049,Sam Johnson,2015-08-15,individual,JP,software engineer,low,pending,False,12010.57
C-N0050,Tina Johnson,2015-08-09,individual,CA,lawyer,low,verified,False,7998.71
C-N0051,Uma Johnson,2016-08-10,individual,US,teacher,low,verified,False,23456.99
C-N0052,Victor Johnson,2016-12-20,individual,DE,doctor,medium,verified,False,33274.65
C-N0053,Wendy Johnson,2022-01-12,individual,AU,teacher,low,verified,False,16988.0
C-N0054,Xavier Johnson,2016-05-27,individual,FR,lawyer,low,verified,False,32349.39
C-N0055,Yara Johnson,2019-03-13,individual,JP,contractor,low,verified,False,28579.79
C-N0056,Zack Johnson,2018-08-24,individual,FR,retail worker,low,pending,False,6473.49
C-N0057,Amber Johnson,2019-04-13,individual,FR,nurse,low,verified,False,18745.95
C-N0058,Brian Johnson,2016-08-14,business,JP,corporate banking,low,verified,False,24129.86
C-N0059,Clara Johnson,2017-06-15,business,FR,corporate banking,low,verified,False,23283.82
C-N0060,Derek Johnson,2019-04-18,individual,US,teacher,low,verified,False,43531.24
C-N0061,Alice Williams,2021-12-22,individual,CA,software engineer,low,verified,False,15361.54
C-N0062,Bob Williams,2019-02-07,individual,CA,retail worker,low,verified,False,13996.67
C-N0063,Carol Williams,2020-07-07,individual,FR,accountant,low,verified,False,15707.75
C-N0064,David Williams,2018-12-03,individual,JP,teacher,low,verified,False,31273.95
C-N0065,Eva Williams,2020-07-04,business,DE,corporate banking,low,verified,False,19086.62
C-N0066,Frank Williams,2016-10-30,business,GB,corporate banking,medium,verified,False,18902.62
C-N0067,Grace Williams,2022-08-14,individual,SG,nurse,low,verified,False,8289.1
C-N0068,Hank Williams,2019-06-03,individual,US,lawyer,low,verified,False,16367.35
C-N0069,Irene Williams,2019-05-25,individual,JP,consultant,low,verified,False,22126.24
C-N0070,Jack Williams,2022-11-02,individual,DE,nurse,low,verified,False,34786.04
C-N0071,Karen Williams,2018-02-04,business,SG,corporate banking,low,verified,False,4144.71
C-N0072,Leo Williams,2019-08-02,business,SG,corporate banking,low,verified,False,3822.95
C-N0073,Maria Williams,2020-09-22,business,FR,corporate banking,medium,verified,False,17613.09
C-N0074,Nathan Williams,2021-12-29,individual,SG,teacher,low,verified,False,11009.57
C-N0075,Olivia Williams,2022-06-06,individual,US,accountant,low,verified,False,29753.36
C-N0076,Paul Williams,2019-01-21,individual,JP,teacher,low,verified,False,21450.54
C-N0077,Quinn Williams,2020-09-21,individual,SG,retail worker,high,pending,False,32635.78
C-N0078,Rachel Williams,2016-08-19,individual,AU,retail worker,low,verified,False,6276.65
C-N0079,Sam Williams,2017-05-08,individual,FR,contractor,low,verified,False,35896.06
C-N0080,Tina Williams,2019-03-30,individual,GB,nurse,low,pending,False,9350.14
C-N0081,Uma Williams,2015-12-22,individual,JP,retail worker,low,verified,False,12347.21
C-N0082,Victor Williams,2021-10-12,individual,AU,nurse,low,verified,False,11343.54
C-N0083,Wendy Williams,2019-01-01,individual,DE,software engineer,low,verified,False,22969.98
C-N0084,Xavier Williams,2019-06-26,individual,FR,retail worker,medium,verified,False,11465.68
